station_name,measurement_timestamp,solar_radiation,radiation_danger,hour_e,day_e,month_e,year_e,Sensor_Latitude,Sensor_Longitude
Foster Weather Station,2016-12-27 17:00:00,0,Safe,17,27,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-27 13:00:00,494,Slightly dangerous,13,27,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-27 10:00:00,0,Safe,10,27,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-27 02:00:00,2,Safe,2,27,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-27 01:00:00,4,Safe,1,27,12,2016,41.780992,-87.572619
63rd Street Weather Station,2016-12-26 23:00:00,4,Safe,23,26,12,2016,41.780992,-87.572619
63rd Street Weather Station,2016-12-26 20:00:00,4,Safe,20,26,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-26 20:00:00,0,Safe,20,26,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-26 17:00:00,0,Safe,17,26,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-26 11:00:00,399,Moderately safe,11,26,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-26 11:00:00,148,Safe,11,26,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-26 00:00:00,4,Safe,0,26,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-26 00:00:00,2,Safe,0,26,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-25 23:00:00,2,Safe,23,25,12,2016,41.901997,-87.622817
Foster Weather Station,2016-12-25 20:00:00,0,Safe,20,25,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-25 18:00:00,4,Safe,18,25,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-25 18:00:00,0,Safe,18,25,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-25 18:00:00,2,Safe,18,25,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-25 13:00:00,123,Safe,13,25,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-25 12:00:00,45,Safe,12,25,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-25 02:00:00,3,Safe,2,25,12,2016,41.901997,-87.622817
Foster Weather Station,2016-12-24 19:00:00,0,Safe,19,24,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-24 18:00:00,0,Safe,18,24,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-24 18:00:00,3,Safe,18,24,12,2016,41.901997,-87.622817
Foster Weather Station,2016-12-24 17:00:00,0,Safe,17,24,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-24 15:00:00,0,Safe,15,24,12,2016,41.976464,-87.647525
